,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10
Precentral_L,0.0,0.7442097133741937,0.6637176648604785,0.3746094213873024,0.250267123023555,0.08513990988878077,0.511036602062295,0.3737126270474909,0.28081601184008975,0.07061144269640052,0.5791846539061241,0.35945290530639745,0.5661827031751877,0.3241056537241026,0.3619100715205079,0.09132384249870085,0.5500715207026757,0.663281497488179,0.8124362496396886,0.7118847194357382,-0.0020487993942109877,0.06158484165359779,0.20905913697351491,0.10299392880717097,0.22280895240662962,0.18149055207826104,0.2757240176434334,-0.010256558631697266,0.569418529108498,0.40317108268780755,0.30025404503455694,0.20535022152242613,0.6899198273014634,0.6655775079502626,0.241707091895368,0.2858253984443133,0.166422047725193,0.27535885688250017,0.19158306207723153,0.40981917508116067,0.2219970487536736,0.42200758283316697,0.4650741258941492,0.4293640234518413,0.49956472348628,0.5526590476241199,0.5436872497771192,0.5070972673127788,0.48722907218781136,0.6105853806466783,0.6694558796568252,0.6316929362447447,0.5817090763758038,0.5455906479222843,0.46864158534534134,0.5602290903377587,0.7672623610116127,0.6834533108553525,0.6267634310933333,0.4612776662215009,0.5584437784602725,0.054158795429838445,0.6009814237073031,0.34990113944155565,0.4644287430965175,0.046115752677175645,0.3995592007449452,0.4513476945146169,0.6127427809860047,0.5801357331698144,0.3565366023109602,0.21838260426481823,0.34749184721030535,0.30423287220163625,-0.01293176013695844,0.16654700457325186,0.2741915786098161,0.2914560603601775,0.3938546963839992,0.48457007528805823,0.5271783701181453,0.5952427062279799,0.39794626885374157,0.37725474286319455,0.6731231215344261,0.5051328048863871,0.44229631002351993,0.4392278097709508,0.3987135806023065,0.40658401362016,-0.08949833713102444,-0.0863413072931822,-0.06003968052560678,0.02953991705353824,0.3503585416603387,0.2660834192028533,0.25354300726077816,0.32518927614993215,0.16823229035446138,0.334099657643462,0.1549991400566373,0.1391347989530085,0.33041900433945853,0.32911234141964535,0.2661190532703627,0.3049096344559082,0.04221200418273129,0.16473250052298266,0.16270488817209527,-0.012744588203546818,0.1800094922800851,0.29993381525612633,0.059761516080975415,0.3331709699016149,0.19773216541354102,0.055849053052366975
Precentral_R,0.7442097133741937,0.0,0.47282626525458943,0.16828130094000748,0.12446214403819333,-0.04299835977184422,0.12619186444189395,0.09904469809632489,0.04438444890537281,-0.12738323867757884,0.39594184898231893,0.20426541019511374,0.351657974151265,0.14646073005722776,0.119085936516252,-0.10213555380805886,0.5996443761721706,0.6903159764105582,0.7524608904139799,0.7415897398585157,-0.12273100254631743,-0.02197005651730311,-0.10685546654150092,-0.0889507546391863,0.2050591939373199,0.11597579967530494,0.2819290469541357,-0.012578939187421393,0.5329410122586828,0.3618198232818676,0.1855915881896093,0.1307644674355753,0.6098874827996027,0.6407764437838499,0.17293768560965808,0.2681708496935743,0.1577858113720029,0.33873000852888724,0.11542737938224013,0.4188744465941286,0.23058677135261002,0.606549443218493,0.39023257023135804,0.37857536588734464,0.5160953164774432,0.5639101797866177,0.5333765682118699,0.49139597435266236,0.48638971348263865,0.6497942623473603,0.6749416389385461,0.6286198481574696,0.4900152931010405,0.38699586845414413,0.37794402477844036,0.4985356283187645,0.8267846433753783,0.8145803534481815,0.4807143528466119,0.41139215015382585,0.269375591694392,-0.18785712086043743,0.5179957693444223,0.21775879993025582,0.227517882318136,-0.11815481716729921,0.23263954509989207,0.3223464710213458,0.5350737622521899,0.7126526067653463,0.3157038533698176,0.11321899595402235,0.2186735015378153,0.2660008856133759,-0.19980285846152668,-0.010580735991432512,0.1679657297055562,0.23638932209737154,0.4314937306102785,0.4887755528749096,0.5895685253535584,0.6164781077451634,0.20605830218982624,0.2525361013310818,0.6079569213759362,0.399922820380597,0.2456898883747047,0.3556522836319447,0.1797137137596965,0.3278922820394767,-0.37823976295048894,-0.42414720977145426,-0.34547750371243846,-0.2335619100249778,0.20557665236954223,0.18098810426433048,0.12132927075613861,0.1692068813727045,-0.08269143076724898,0.05961909317609888,-0.022416937604385855,-0.0905075408052611,0.1840627354294273,0.13835950953772277,0.14739171801911102,0.1233305500391033,-0.0602243505148563,-0.023117956219937296,0.062426613822693856,-0.05862605721613191,-0.005209894445661183,0.12154546623044053,-0.2252355750267763,0.19215795293695948,0.025852885299306724,-0.03500639662257856
Frontal_Sup_L,0.6637176648604785,0.47282626525458943,0.0,0.6096900364826613,0.3902369872838531,0.17315477825557551,0.6179845347361221,0.4854157370836294,0.3049707539505664,0.1385959538493284,0.43751667936222244,0.3797002388000798,0.5032381009324984,0.3669327653971849,0.4302625831361379,0.14634706705998238,0.35494461817008865,0.49785033762698844,0.5907250092575052,0.4729602784989896,0.047174984879118385,0.06659179531509475,0.5046373175121357,0.4515792661914397,0.5439281826998978,0.44216840998195467,0.4425120683398525,0.254112599715634,0.432703547151711,0.2567478602121371,0.4661030175312369,0.36532681280928886,0.5815171430959877,0.5231488705198263,0.5007157399465956,0.44003958359195716,0.11666496991286728,0.26931914825796865,0.20943597924382074,0.39297582486541016,-0.0026891201301894496,0.2871640633728589,0.4527925014192879,0.3667322125564721,0.3339334664412409,0.3266633780235148,0.4257273409298397,0.39584572208002783,0.3384208022129257,0.4607400161420125,0.5751570307327953,0.5597046243328322,0.5959602677373056,0.6030763646382293,0.5191109278217685,0.5220062790805369,0.5322457928329434,0.5852817858906229,0.5916876650012981,0.6037572063719111,0.5937329504474758,0.22028052263889494,0.442393803999491,0.35517480126242346,0.593006169819662,0.3693847582231328,0.5440074802376084,0.462231578564037,0.6141342540484256,0.5320593671245364,0.45708771713937446,0.40132572239223113,0.35041253928064947,0.2841259194050957,0.04095074757828575,0.18605675059562338,0.2589072909453136,0.30438628159435827,0.2987140175977934,0.42314671922471836,0.3725028635712006,0.4270202862507929,0.32195768621941784,0.3736573164408386,0.6516300775546573,0.5348013977389796,0.5286508702054941,0.5350596064621769,0.5152727929780311,0.4587328273333879,0.20184344858019942,0.26960836474544175,0.26809086379757235,0.36478759334894356,0.42673375991011775,0.4518735344394242,0.37922920943552146,0.3884758384156121,0.2953972380742301,0.46809086415337275,0.2653559962495295,0.32539820010536824,0.46581132848578727,0.46597765557670423,0.4556561815943674,0.483203983862241,0.2999315454288607,0.3948109714021242,0.2418036056210864,-0.02563109756766272,0.2944330460270312,0.4584950745564312,0.3198124427053659,0.4985246744153161,0.2911674527747608,0.2899122533577525
Frontal_Sup_R,0.3746094213873024,0.16828130094000748,0.6096900364826613,0.0,0.5491799725374091,0.48716070123285654,0.6948016054291644,0.8546349573709248,0.48233306734641496,0.5530818437657263,0.4051370481465635,0.6732132592173036,0.4869989593259688,0.7061363076484124,0.4673246987711598,0.4966169916177674,0.31411883379887084,0.3820863055998369,0.3682040710014939,0.3256831210389911,0.19899819154538864,0.25564535560354995,0.7189203273976368,0.7912411971134611,0.4996939679132019,0.5005229708878246,0.35922749261012993,0.458125162242088,0.4296130999391449,0.4330396937038384,0.6621593360859869,0.6653892712507199,0.5485201167221215,0.5443217998178926,0.5187465624301527,0.43120282245859454,-0.08959563584270648,0.12432779058489896,0.1923463449906673,0.3845677828510014,-0.13127077296568462,0.029951891359765247,0.5124414092285412,0.44466285312623527,0.27140595955982577,0.2726389844788165,0.38720896057827286,0.36745553997877084,0.25709664539803484,0.28206222862926,0.36365689411671553,0.40571025295325774,0.5618189399996814,0.5808167257135133,0.4848349880475524,0.5131516035434226,0.1985683621528007,0.29650153133290025,0.551892241352433,0.6430229450796436,0.605756075657171,0.689081774772015,0.35937125674778353,0.5942910177319186,0.5524234463638223,0.6698075210905093,0.656896728061707,0.6063937403145409,0.398965470535263,0.24179990758854109,0.5059879528072282,0.5712645428366866,0.4421452561503286,0.38889183691253043,0.26835080740735456,0.3800203480366231,0.3083384064623477,0.3883337844113292,0.3863382543113186,0.4719676368821824,0.38854551610235505,0.4164419504956816,0.36516067813976694,0.39535907156356054,0.5287887698720913,0.6532367091501983,0.48570891393349735,0.675222629062155,0.5849302385135935,0.6556196160630019,0.5747913517495149,0.45161312582468943,0.6472291202703356,0.506844458486968,0.34297896388468513,0.42608891440890634,0.34531132347090077,0.3512819183566261,0.5654377895260543,0.548077234724311,0.5289836893248381,0.48667064940234495,0.5979576015620051,0.5770590052129552,0.5568156817300658,0.5948086756511749,0.35054909364200837,0.5712750770777711,0.2739258521063717,-0.011935328483262514,0.25573343872001464,0.41185250766719633,0.47195348371402485,0.5518098328768957,0.4220130932012583,0.4594134771647631
Frontal_Sup_Orb_L,0.250267123023555,0.12446214403819333,0.3902369872838531,0.5491799725374091,0.0,0.744123829187418,0.4496696727432562,0.520823087763743,0.6494337886201221,0.545482072296856,0.26485110887623164,0.4288939942221167,0.3994869531440218,0.48609387093696677,0.6654126659848923,0.5299672898558075,0.38232272412559454,0.44160058370192007,0.2375977329920712,0.21893543171409444,0.33300381877985535,0.5991144670726316,0.5045357229474083,0.44356361264247146,0.5476344037879117,0.6262303538813105,0.5681334389296746,0.6219914036014262,0.5190872999051529,0.48182507233819954,0.4757969529424647,0.4240752152247096,0.43070225937084317,0.4167910924905714,0.3908995281152457,0.3911063289610786,-0.1182591975154431,0.32199381421621837,0.3267307949491825,0.6072124238358649,0.05566431149437173,0.08188123793732162,0.5670621271666944,0.5232347102181018,0.43931365278578155,0.3892893058094956,0.5269852676398998,0.5251016640357887,0.39218506947203374,0.33180608981497367,0.3775674276747672,0.37737736250234655,0.45781266991108754,0.39789530797141914,0.5523152019874135,0.6501470018156247,0.21789592446604916,0.2439175324273193,0.48051980977831904,0.4453725536877954,0.41825307800551764,0.33331834226753393,0.36620278245109494,0.4570000931411541,0.3513394390804252,0.2762778888274292,0.5625563682748586,0.5285871334712702,0.23061812955984443,0.03983218782676355,0.408352902582078,0.3572282324301267,0.3052423285205394,0.23849683710940733,0.2765556000445157,0.38490693857419506,0.1515782556328532,0.239186393588318,0.4683374260359655,0.4282873104587708,0.4688430291682635,0.4197788492603861,0.4710258887015903,0.47749113008339605,0.5508073504286907,0.5601015288082083,0.4337652036625621,0.629434212438347,0.6500434725441449,0.6513243016837559,0.28133110387665355,0.245029847079087,0.41052774996268054,0.4445427325055432,0.19764066826274188,0.2684446011031946,0.274351137032457,0.25067301030110684,0.46400559821986626,0.5042386791857849,0.5364283223878537,0.5073903363811842,0.5731038887303975,0.5907392458023676,0.3844329379288787,0.42040129809139815,0.03106679973418279,0.3036335764238324,0.20235889775638585,-0.22432321996051388,0.07965956721200458,0.2860922240270736,0.312441609891644,0.6000275343964603,0.18677065453217276,0.41539177117423415
Frontal_Sup_Orb_R,0.08513990988878077,-0.04299835977184422,0.17315477825557551,0.48716070123285654,0.744123829187418,0.0,0.37334029193149454,0.49297330413716683,0.5461281115630544,0.5822720087707625,0.16099860181425438,0.38943439531143587,0.2555648626587302,0.4951341038036222,0.5676458507266772,0.5791444849863117,0.1979608510884571,0.2857823707423229,0.09743836071962259,0.09784769419072553,0.4330126984743612,0.549105858722962,0.4405737240339952,0.39686738340389843,0.39863649088381,0.5198082345194907,0.4553715674532838,0.6690499675478186,0.31593895176752373,0.3858434261599583,0.32407332864210947,0.30538837253193574,0.22995293222952087,0.23542639599621448,0.2155316146689801,0.21379125103015542,-0.12005458395173957,0.14957427730331638,0.2747904848641775,0.42851382491970363,0.020754119266743077,-0.06719817097057115,0.39325037563977966,0.3453320741369773,0.28437278476752686,0.25773592099717085,0.35415464429298205,0.3393358479670957,0.26119799960839474,0.14315157555183408,0.15539944083695062,0.1744766261567071,0.3089735118671715,0.3020938737578925,0.45707486833568955,0.45205227284330773,-0.0076503595812677586,0.0557720959653192,0.2913660441393862,0.3294481032664409,0.33573748288677707,0.41790723934191865,0.25672830664064883,0.44605711058609687,0.21331688348884098,0.25624641197146536,0.42642616518400794,0.40345570523814145,0.036620321125511425,-0.15771013938373357,0.25331587618748425,0.28547149126736837,0.1613068404855095,0.06932602077528564,0.2934672984183889,0.3304772410094495,-0.02663670329944716,0.05301957485788252,0.2946926690185756,0.33331058849780243,0.27529608058519384,0.3068136912289058,0.4653914956998978,0.43618745421815913,0.32116002764882634,0.4208256231465095,0.38728224532361744,0.5612440506566113,0.5044384755574967,0.5772021063538976,0.404661828232213,0.30872190018757806,0.4749712944052815,0.4311472438329883,0.17890945337213887,0.23598597933675738,0.31057569403594065,0.24511210210794027,0.45911192250992255,0.41821694859012953,0.5471952523744379,0.46459545116877005,0.4518615206179707,0.5227312410673608,0.37320796076711754,0.42469583823736373,0.024673858267096685,0.30915980965864104,0.20778018472755297,-0.15407157869597615,0.17772310521903967,0.3296988221269096,0.40835118351546856,0.5128481598297355,0.21862589288537698,0.36193571698773497
Frontal_Mid_L,0.511036602062295,0.12619186444189395,0.6179845347361221,0.6948016054291644,0.4496696727432562,0.37334029193149454,0.0,0.7866696290731344,0.5692820973725071,0.4390710066142348,0.6185453492227952,0.5944821638725724,0.6786643047982857,0.6647240166493887,0.5579964733578985,0.39194651340714476,0.3037729701199209,0.3596934516908684,0.3575040084121667,0.28670908754321583,0.1023490884691521,0.19526524335843942,0.6938461506158521,0.5618631662785525,0.28145673708568714,0.3159646196880069,0.1845424578750679,0.20573489227420166,0.4559171618618622,0.3981730480891339,0.5421078674565933,0.44514240204217864,0.5139478145348898,0.46159361695394113,0.2924515485814438,0.1983565923840078,-0.11176610214002952,0.02860487842393508,0.13530562103566784,0.2564212404812889,-0.0701515075225993,-0.019483003793101396,0.43558819448048464,0.3805825426400294,0.2166596431767958,0.23748170546047975,0.33188715966917526,0.27312016443785236,0.21971130641518793,0.21503308939663524,0.34036432036005276,0.34494969645528645,0.5622973328833378,0.5704624280916332,0.4454845913863478,0.4117066588691199,0.2190815154043095,0.20796022696033223,0.5443881271334853,0.4385887354640784,0.7027319550017277,0.5688169078476695,0.4416975722365027,0.6043820115949424,0.6136012484596364,0.4028983750685452,0.5068292991904402,0.45185566820304784,0.3611330867608338,0.2272209073470238,0.4586489734217946,0.4723428267725891,0.5108498333023624,0.41718264722344756,0.33927356849488116,0.43562230907076294,0.3817044262476505,0.40825741035895496,0.3263513580822035,0.4905205105025076,0.31480108924096084,0.37735764156378515,0.4069047966150378,0.35866456531565566,0.48650081563913583,0.4931596477393511,0.4804423876551567,0.46367130920236516,0.5577356738577925,0.44358904574851343,0.4645850109695933,0.471873624475088,0.5322670614639862,0.48529551471342214,0.4395942968667763,0.47972968017392137,0.41783177917569875,0.45055036636837015,0.5132148414007289,0.6259591282996899,0.39792128872610566,0.47522180704148664,0.4738073058006041,0.4780077178441405,0.46132492679174225,0.5617249097724529,0.31693635918987245,0.38784265137732443,0.2537456013028268,0.021321175818127428,0.3406076429843179,0.4740476730799056,0.4712645144518154,0.5081082468780185,0.4504404948560267,0.3857696003874879
Frontal_Mid_R,0.3737126270474909,0.09904469809632489,0.4854157370836294,0.8546349573709248,0.520823087763743,0.49297330413716683,0.7866696290731344,0.0,0.5604601949866618,0.6187788407605183,0.5315812535637457,0.7590334136823541,0.5996642302498202,0.8363399056054587,0.534235288790728,0.5695260988950744,0.3195790144845715,0.38477371550794937,0.32893394047965074,0.30433448396806717,0.1658882808091206,0.26400250259351865,0.7596509333998386,0.749404752685477,0.3476739709974102,0.4410760245344894,0.25580592935626983,0.3649569324989244,0.4840825504303484,0.5191307745549171,0.6425145068932565,0.6307299570214183,0.5679850249169005,0.5563158402910053,0.39664697520085307,0.3104178245660157,-0.10910866659809201,0.018215452833302698,0.12977721294839,0.3177442089867657,-0.06966734398368539,-0.005212683984211454,0.5130619791022029,0.46949823105750543,0.29707679410238313,0.32286561320831214,0.4090829934278336,0.37919935959388995,0.27924009664621785,0.269203756167332,0.3164677419346832,0.38812655994490014,0.5391261272138484,0.5640728633972779,0.4115780973549367,0.47299496646281514,0.1478768322743047,0.19887571581561558,0.5139464600376082,0.5369209560673366,0.6550879202394064,0.7546727415340472,0.42687143441988573,0.694589757124601,0.5831086292778193,0.5817965631634504,0.6009289282054355,0.6091456781001928,0.29395945928508505,0.10089670543008082,0.45352649631305014,0.5439258658908419,0.4682854437846628,0.39912878000465724,0.32065317065537885,0.45590782740547775,0.3372982805351182,0.4207521243579464,0.39795583581395205,0.5450544836213108,0.3986656268916276,0.4973218296820246,0.4462808789230332,0.4635420031430955,0.5017867198791994,0.6535125358773605,0.44074520884074364,0.6209998934480911,0.5228142098682137,0.5657009326446305,0.5339821723837254,0.4034224095350253,0.5855399060764779,0.3974086300350053,0.3547711036172716,0.39062332143883216,0.35155921397125894,0.38672882093731414,0.600327498314099,0.5834231598179996,0.4947103095854364,0.42856381126691434,0.5504888169131664,0.4816409265617397,0.4485399493786352,0.5305565084557733,0.32263192666861445,0.4887672423327956,0.23942157958778668,0.0026680215020833107,0.27850478719766025,0.41657987009563524,0.4330946761599054,0.4551412226495907,0.4629440124530612,0.37578351623765643
Frontal_Mid_Orb_L,0.28081601184008975,0.04438444890537281,0.3049707539505664,0.48233306734641496,0.6494337886201221,0.5461281115630544,0.5692820973725071,0.5604601949866618,0.0,0.7830266957762457,0.3297173247732512,0.3780030700869937,0.5038277950238221,0.5571944905375625,0.8134232605725481,0.6751744893899955,0.21111639782039202,0.217752949874618,0.1902408431216064,0.20897841259694144,0.21410153993731162,0.2871372780057735,0.49868277968781627,0.375968676923384,0.16159891833520026,0.27661201165737587,0.3072424664210541,0.3244731213527977,0.3995779135939269,0.428839159550934,0.341936152505451,0.2720146809156067,0.3549114769925686,0.3092565964340976,0.08883061072290437,0.05480960424654164,-0.10130015871362603,0.10511497092027675,0.3585898494257897,0.4182200012003991,0.08952813989716303,0.0625795378186741,0.28939756757088725,0.2610688559864895,0.14812833440131573,0.16260146286127425,0.27039696419840425,0.2521888109938148,0.12225104922756208,0.09544999412934878,0.1859456061021442,0.1468608793024299,0.41186912952025656,0.28829022105475777,0.31443640136670264,0.43645202256839893,0.04627564433627613,0.03931707713551869,0.2973514683583975,0.1909097320689313,0.4076122367498445,0.4893246971907349,0.28861299436485033,0.4781636803230067,0.34782295398308477,0.17196249841772304,0.23848280696462615,0.2555547503520696,0.2198738298389528,0.03882318042977795,0.2661031930300488,0.26589419631333977,0.20835700553989447,0.17026619541739663,0.37824319951864155,0.2521593181712621,0.26655976429771816,0.28640190073551336,0.2588648929108571,0.3643423495485766,0.30525777888793587,0.289158900460588,0.4103931790107569,0.30415345779245667,0.40188930934043104,0.3805003350807575,0.38674169285353505,0.45624675351380245,0.6327578053217848,0.5132056713314781,0.32625034134977365,0.2028493369229214,0.41842307720432603,0.44670211217374706,0.1797756586867823,0.20508453151754885,0.20580205837833687,0.1413899688478926,0.3572693863207269,0.349167285077331,0.5353734839926628,0.5686139194524688,0.45282622131668504,0.45522706615262265,0.24603630713701127,0.3582914175191931,-0.039662781610084435,0.37856246431965856,0.17310960511505719,-0.0684306007539754,0.10704246977389041,0.19332845068273738,0.35889168230150487,0.42438784374928773,0.24133079036430274,0.29121530053378364
Frontal_Mid_Orb_R,0.07061144269640052,-0.12738323867757884,0.1385959538493284,0.5530818437657263,0.545482072296856,0.5822720087707625,0.4390710066142348,0.6187788407605183,0.7830266957762457,0.0,0.22370740410438486,0.4628077623490502,0.32077878027635365,0.6541994707661735,0.6552599344707727,0.7879836088268669,0.10970333259363058,0.10309369311458,0.061238525711157676,0.06541721647060166,0.25090018714465173,0.2787235182106636,0.5273697412661144,0.5261655710302653,0.17210220287614442,0.30548386880186723,0.2505985353136844,0.3751762424048906,0.2631715946675309,0.3737032928054938,0.3689080448311532,0.4048405330317086,0.28949569519810325,0.2573988706551652,0.13647780662749812,0.09622307859410964,-0.15909639457696656,-0.030802433867372275,0.3047140509347142,0.30434789235693077,0.03610644467510988,-0.06690859792974292,0.2468438685828054,0.2493299774690728,0.08445750356546365,0.0865773521015407,0.18060117465280348,0.17337520038092344,0.042105370728637695,-0.0027845368581038985,0.047205150830093565,0.062020890866606546,0.30964133723353965,0.20710496439157486,0.19495158679399455,0.3263407365892586,-0.10838961878216101,-0.0754585427401396,0.19423643514553016,0.20197947937496002,0.3687688912437866,0.6967782679393759,0.1675484066155332,0.5010439845937507,0.29953943433589464,0.3803217915037366,0.2410773839154532,0.26299889793435727,0.04985017561611557,-0.152927146596746,0.19819928162954004,0.2471296872895236,0.15302820819190868,0.145854228226359,0.35750738302578483,0.2741343756383998,0.25020162882200836,0.3015390722636776,0.20739266883694435,0.32154754035780286,0.17768317506535125,0.1942886946015406,0.3445370317332007,0.2919697409224392,0.2477213410353257,0.38067690572621526,0.31022642276349505,0.4872837526070237,0.43950224546983174,0.5055402384319625,0.4219453086725409,0.2175304120520156,0.4831208602848318,0.36997217719826525,0.15701128596986952,0.20070696008079209,0.208700565426882,0.13887911264274766,0.39252936758824303,0.298642017570028,0.509693172524879,0.4532707854289825,0.38640044049361655,0.3620301849103156,0.2518442214225038,0.3356268715211712,0.025446959973551227,0.4434696278394625,0.17577213321915575,-0.03949047914845193,0.12613578551970941,0.15125188928841046,0.3054650230218575,0.31139311249689394,0.32397908225761923,0.27084375694907803
