,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10
Precentral_L,0.0,0.603314600314751,0.3503173901035967,0.3915900115699035,-0.002038605670044631,0.11183195913575911,0.5641958491365106,0.5023249534095198,0.07507041708189453,0.05224444709440184,0.4538307555849112,0.31620718527433933,0.3086404209526544,0.4101941648568428,0.1648491712823103,0.22482564829823504,0.2867296664872943,0.3196830576784094,0.6326386702316016,0.4586827854564462,-0.07947222718246771,0.03982727762050399,0.21224815326994956,0.369636795493536,0.0004297423968717251,-0.010219479238179825,0.04821538432303971,0.08318344806556878,0.317709128648695,0.1669639523197229,0.26179541496018277,0.3634888260110955,0.4610423762106549,0.5291997355591438,0.23345484448974874,0.17957195739317613,0.2936556858246219,0.09513226010629428,-0.05679749215440504,0.025271353705849944,0.1475574113640286,0.2240774871335391,0.19596333291083382,0.24787435311670697,0.2731455978752567,0.20484194888372778,0.29939081812543616,0.22712087789144506,0.25577831908391874,0.25763245903095006,0.4096068271283642,0.3836087358406402,0.26307553070531675,0.20210213835577084,0.20009363864729093,0.16966134887341533,0.5450858501941596,0.47867148068770266,0.4915461260106425,0.19425174303999673,0.5873652889969146,0.4233827519919367,0.3848499517398687,0.41317983918716383,0.12541962255232056,0.29450349043728224,0.18667208821757741,0.06310480116995573,0.6044753392197378,0.37608867489491793,0.3114181070578694,0.43224058462483333,0.40272832454616503,0.3656073695120286,0.35143626470608086,0.3001182605199739,0.5129211646713441,0.4860860126558024,0.16757842839088868,0.11156405645136507,0.35131677820897617,0.42598262064720666,0.13686707069877185,0.19910356950128588,0.1928685243776769,0.37441146593627533,0.08146687500605143,0.13173786276386637,0.052770469738694946,0.09390660360026919,0.16960604999336928,0.08909469712002588,0.016352699908253675,-0.0033419137009272743,-0.06776773777027702,-0.053308055884896316,0.12911799876403796,0.1901254226176275,0.3732738762106784,0.3751648886682645,0.016796877265573752,-0.004443633952795462,0.11891270332183343,0.03328710289316703,0.31201752990301335,0.18254682522144575,0.050022881209930974,-0.024718587598777566,0.05489502888638629,-0.2239704902630828,0.1587255072811247,0.03569642534348418,0.010663317782633125,0.06397150539436622,0.16848814164521234,0.05617023355252944
Precentral_R,0.603314600314751,0.0,0.19671115821449042,0.2539002316583241,-0.01099043030598071,0.2626713093697651,0.3218707412723548,0.4392762614778824,0.1964745901748469,0.16872795251217196,0.2605097536330379,0.3579189216615716,0.0680503783235934,0.4150461456030018,0.30147758229266786,0.36160716788079217,0.2807750053045977,0.41233197579444675,0.5112562169338678,0.34315576621357574,0.023379246606428494,0.05784847193826603,0.02372769123917683,0.2277340030839723,-0.13224027707365985,0.13372588133071878,-0.010688262526269416,0.2007246245692504,0.34269968328591494,0.2822249813626841,0.31628709538151545,0.39007848739598044,0.478394788987216,0.5439808459839273,0.12718980380164602,0.09368827895767987,0.22440398491944974,-0.011923005979767929,0.04089369332332311,0.07239744861109433,0.3271283926243042,0.3648005528266115,0.1649505868008308,0.24074949039451296,0.15558340434731696,0.12740375452745872,0.30509919803229246,0.11798696499269608,0.32986407022964154,0.3314644718529652,0.41036531298050477,0.4769092116731297,0.2796609240728668,0.222487989766252,0.21096579640420318,0.21433226930542604,0.5271019975920014,0.6399060065311276,0.46720886153987506,0.48741582047052756,0.3258635236113387,0.3578348332588982,0.36547334302136997,0.5308412247847494,-0.06906110239039687,0.21427846493229008,0.0801353814182293,-0.08313154224644209,0.43666608165190907,0.32988300484000804,0.28486639521107565,0.45095559724995454,0.4130932484598697,0.4171058449495995,0.12267686170655233,0.2855487987222884,0.4467346117343189,0.4969993886948409,0.14110675857897167,0.10529544867476315,0.3322054035647166,0.5430113539431141,0.2585357950103987,0.37037879969462884,0.09732192371080176,0.38706208742045234,0.06232924974617554,0.3037216726134039,-0.10208983963138486,0.08083899892417483,-0.11637668939388295,-0.1889126561620694,-0.2191526977992762,-0.19950721899362575,0.05961418130758621,0.02789256615253744,0.167081576762538,0.3330175101150123,0.3640321826897449,0.29272157756947126,-0.10210074469240216,-0.26310193607396803,0.13807755844675082,0.00182611951615442,0.17990598844624456,0.08092781398584367,0.020505632128681877,0.25381765048165655,-0.09430732549118181,-0.2165180486158479,0.02432902115317609,-0.20695836548149918,-0.10193465887388194,-0.07244022317785884,0.17510808958053903,0.07220429757140504
Frontal_Sup_L,0.3503173901035967,0.19671115821449042,0.0,0.45606337968615973,0.08758613457496983,0.030187150836779343,0.5810994737973033,0.35016441477835025,0.18218125205730268,0.13620927608898775,0.15079314348218245,-0.01666934317723074,0.49518727393119766,0.3671807957187565,0.2594047579410922,0.2521431009553981,-0.006599809503609251,-0.03248475784122403,0.2982559258053523,0.08286956055834707,-0.1736415689409271,0.05508170457436174,0.6867093949658732,0.6117444167307807,0.35457228072663666,0.10347523373395381,0.15997090590293206,0.11248155505642192,0.07367218206810085,-0.2136874408962949,0.39838276132692,0.4952834022531004,0.15661764249040874,0.10779970567174639,0.4422049477636931,0.29270584292867013,0.29444666758677895,-0.05522218574599278,0.05365507967949408,-0.012009819271717185,-0.013091609357284612,-0.04105080851532115,0.2563203506549512,0.19662200070550656,0.24957977249492358,0.2034998266050426,0.251166704119218,0.24803844525151775,0.0849355028952953,-0.04040160554880527,0.13065999726585273,-0.047882147234507406,0.04113940332742332,-0.12691038722619583,0.11549374434276759,0.03110447240076705,0.20350611554862505,0.11234145086276726,0.0941468943314688,-0.10699557199921078,0.311811284391196,0.13252048503548536,0.04313718805622929,-0.05933457374148141,0.6030680938105274,0.44895442778931133,0.49059531434880893,0.34874235791435865,0.2950537500957334,0.34126222387818655,0.3344272332243156,0.4174946769017835,0.25486289993645234,0.18639549431166177,0.07768196913422044,-0.0025250457378153323,0.31275604628979353,0.2752192953604973,0.14098446897014286,0.0779514806614446,0.1470121346449747,0.17973817727506955,-0.007748247127470084,-0.029294456896599597,0.5179459756317001,0.4073636229794568,0.287014099673182,0.2268997297478655,0.05922038095638375,0.14900809075617139,0.2503133071292956,0.2853091964084661,0.2005079302392752,0.2769241727182246,0.20427718744458978,0.24834278751082683,0.29365620191213965,0.2713703825509592,0.10516915187774489,0.2571381603324375,0.10655303696723482,0.1032403846858918,0.06592377889073905,0.07320456727452662,0.29516601930625724,0.32811179094685655,0.0162038017482361,0.03273533981888568,0.21005824519895885,-0.08339353432060401,0.080624617046165,-0.04717873249216998,0.02399551109487097,0.06344782798451395,0.13025048546723966,-0.047176115439960205
Frontal_Sup_R,0.3915900115699035,0.2539002316583241,0.45606337968615973,0.0,0.06746436423156756,0.06771617800599239,0.5666932602774828,0.7035296461599414,-0.06016515144509305,0.06148388869726361,0.26876461739912016,0.3367250351302264,0.3075167813378154,0.37518290812136124,-0.011511969597748011,0.201652125432196,0.29291509395610266,0.2242392640686694,0.4879015273135774,0.4786345136420404,-0.08391830551171128,0.15353688336710392,0.31458446619092884,0.37450293871526896,0.11410745228180084,0.23514016097732912,0.05271765445372104,0.17499778005771727,0.3080365622049233,0.15814179080286658,0.3739192466046047,0.4313183956237753,0.4235691399278661,0.4186046898484775,0.23277595967407866,0.24131625839655266,0.23525373650245854,0.03548088781667923,0.049055366401405946,0.22982344815170858,-0.10262621435943013,-0.007500180117649116,0.3440750940032931,0.30293924874058664,0.34872950993546203,0.2786060762296727,0.31005147273091344,0.2689719247348455,0.10731066473432448,0.09521121124031184,0.33882908321365923,0.20819746465141759,0.3514105967170165,0.2659588293992602,0.3373982951866228,0.28844072685794847,0.3301237555073727,0.3689955181740962,0.214232068718677,0.036529892055574054,0.42462337216508966,0.4420570663796731,0.37453605988932925,0.3608159234062827,0.1889732167872896,0.4164349884824454,0.38364751453738705,0.5056527866646662,0.3759797169577163,0.15081862037046645,0.2456721480275935,0.40536624302359453,0.28768204795103275,0.24283931092047564,0.24234530627640494,0.17458360625980382,0.40182551595747007,0.34413032013468786,0.2572593587187912,0.2075030701954343,0.3745778385492403,0.2877028430862808,0.11305354325030392,0.1026133540851791,0.3352748321785747,0.47158830423422143,0.07336084578984034,-0.04325522555009757,0.33144699584181037,0.3528806267687015,0.4303450875893414,0.2083410481936498,0.4002044021537365,0.37812650689183824,0.08003570286192138,-0.06181446108078387,0.09082025729273593,0.08427365817498648,0.3841378565095222,0.26101888184061295,0.48826606048041227,0.3248948658545582,0.37287750512510126,0.3636895488495532,0.22434895938319144,0.2128004476047899,-0.024312894306631683,-0.2522011329345006,0.14513782079901716,-0.09775120933303272,0.13298163490281567,0.2596866147123696,0.243943701490033,0.18535825404356662,0.087843227178575,0.12463402735234592
Frontal_Sup_Orb_L,-0.002038605670044631,-0.01099043030598071,0.08758613457496983,0.06746436423156756,0.0,0.35697306633682385,-0.026514086553790617,-0.011207481292416497,0.4368253510906283,0.4148355752413926,-0.08535911485489363,-0.06751561680047576,-0.013385849985760763,0.06176695839434373,0.2159213980718058,0.2338829072046893,0.031655292724996204,0.031184134168413438,-0.003708640419962708,-0.06818969148444613,0.1660826637887189,0.22731185186185884,0.016282254652680288,0.01226381148719123,0.25519699225314174,0.2648729635278583,0.29621155633710894,0.15678332873168027,-0.051372253596541684,-0.08472315581057008,0.07939700597533568,0.10562795730325254,-0.10607864170154173,-0.04454076032632088,-0.11118222929991833,-0.05442327733740879,-0.04479130609638792,-0.07250548252578166,0.1527970204984871,0.14973997282805765,-0.009577974181481621,0.17793357297791185,0.15028843811078632,0.10934471261324126,-0.12371535414856853,-0.18289860152562307,0.028817856885340318,-0.028602449176392646,-0.12798584743049227,-0.1643586202666205,0.07037919304782274,-0.009432812944566514,0.18184994035996713,0.14170489637170836,0.16930586578574613,0.08041386020847434,-0.05379162373707964,0.03754971520804945,-0.06887458634831527,0.10486165285412853,-0.09877128335970911,-0.07170840132014701,-0.036001664698356375,-0.11471226845358394,-0.022396256267814454,-0.12087186988954456,-0.03755178814822823,-0.07131619160151627,-0.03212853086306037,-0.08081861741725987,0.24333129971691184,0.264580354264874,0.11600114956584771,0.030118683047371007,0.015625401420539184,-0.14931077965264525,0.11045100166011775,-0.00038363998634361715,0.2193422307943439,0.20572539314599805,0.14413042450478417,0.0315818684566264,0.1958188126321403,0.12805122387660453,0.14553484114161389,0.18617285316374158,0.15519223067694782,0.07742126394755701,0.1450455141650312,0.23427244773280695,-0.14888844829363854,-0.029786550836222878,-0.05134666124169282,0.022093759512297407,0.15961052189170064,0.07918448593336723,-0.015046951478554916,0.117662032171464,-0.015204956467903112,0.04493991197175831,-0.06767658581439352,-0.11209983053336652,-0.0983948513811465,0.03211487847899023,-0.11871027092246275,-0.1550513858903966,-0.2017903012412865,0.1496277919787366,-0.18624163599791518,0.021618727408052974,-0.07772240470857704,-0.10676446593665707,-0.13878826936940108,-0.3484627334344779,-0.2486430749958523,-0.05534237169095932
Frontal_Sup_Orb_R,0.11183195913575911,0.2626713093697651,0.030187150836779343,0.06771617800599239,0.35697306633682385,0.0,0.04174804150245412,0.16775322041252086,0.5369003765049086,0.6261671369734223,0.08518140889105762,0.13287638277263564,0.025460074238438553,0.2864553617669976,0.44403796781925514,0.5882311981125856,0.14501570492560198,0.2150254859294387,0.07842462848443213,0.04424429719198712,0.3546574091889723,0.21064758026607558,0.026830639080139034,0.18389682975104818,0.08513764805162749,0.41559664804603885,0.2973069156482655,0.30128126568338814,0.08090030852478593,0.11516196031133549,0.25076220516233433,0.292143568277212,0.13102365079805983,0.2345321752187759,-0.016431699448008617,0.05023887705893744,0.01740898216647493,-0.03743511092063443,0.12877683625636877,0.18535406721816983,0.21434948225224362,0.36350425358790384,0.14561540467227685,0.13416430132257628,-0.09934881678266777,-0.18270375332938735,0.07388978070927028,-0.0752074198090016,0.007964212551684958,-0.06596804225097333,0.15360547532729968,0.13185312688985795,0.2589602733540035,0.22971138588380907,0.1489563734391874,0.07002424289069532,0.07572184437758131,0.2987205043256021,0.17040381176972438,0.26204804469861553,0.030345360671133338,0.16789586702083736,0.14834499938460924,0.21369420357695262,-0.12231584276923793,0.030835367596962954,-0.03410913696246016,-0.12451759268719224,-0.013988453989532799,-0.03383770512816566,0.39840782245364137,0.4434759152848249,0.14965903645156728,0.12310195248447665,-0.02915302335647252,-0.06273082951092747,0.2733139151418155,0.29385635828557566,0.24098739240739056,0.2475735621813678,0.29794781855234875,0.3520792193579567,0.3424564745016793,0.41444512886528945,0.181368355239742,0.390104471140203,0.11541256001689097,0.2654193573752741,0.03466342437304938,0.15517633374506146,-0.219955605689414,-0.11773255576729831,-0.24207166963598595,-0.1870585515442436,0.18636077359896777,0.08268281625359558,0.10795500949132514,0.36708150116154115,0.2227643679986611,0.20370867079994331,-0.1541233511186701,-0.37002002835772213,-0.05325074889903449,-0.02009693579320844,-0.13217792303214013,-0.24371615515854825,-0.19015019688524049,0.4148800312763062,-0.3234192416880524,-0.032034198396848575,0.04808406602491229,-0.22848006718751557,-0.26819623408990184,-0.4394092271815963,-0.24249417570587267,0.035759955135420206
Frontal_Mid_L,0.5641958491365106,0.3218707412723548,0.5810994737973033,0.5666932602774828,-0.026514086553790617,0.04174804150245412,0.0,0.6598766520335968,0.13493266906144671,0.048858011619289606,0.4620908997420793,0.32465723948748554,0.5057239213383445,0.38833335699655824,0.08423685706728895,0.17996234591459306,0.30831887103702604,0.27515645088765595,0.45777258042773594,0.3711391843777321,-0.22236269957102275,0.0042115857207462234,0.42606036304550693,0.42842013145046215,0.08052282853275661,0.07220816038418695,0.050225259593891035,0.09391607538801253,0.3404768717864394,0.07541734547245443,0.44308952878795665,0.4355720304204284,0.514368571206521,0.46184263144846005,0.32787277845427865,0.31550662869477786,0.24896389053128015,-0.08036544068832212,0.010097091446175554,0.06059010853088729,-0.032591055198760946,-0.05955430864919593,0.3599473943623985,0.2871411016649176,0.37379702820284255,0.304096408343374,0.3677184629511356,0.38280624849668915,0.19656888886004603,0.15377224543219706,0.4500814381080468,0.2805226186121989,0.32052735325740134,0.165905736455753,0.32281436149888204,0.26034041093878785,0.3076258208572033,0.3905189395998535,0.440145789674723,-0.0029637223565306407,0.7197293075294263,0.4695190062504249,0.43965762389802393,0.3422626018212113,0.3535047001305422,0.46238672389696883,0.4433324923447833,0.3616307319459375,0.42837169458091345,0.36849299377769323,0.36796839178250357,0.38825079250380096,0.2916395932835255,0.3008319577337839,0.2187503368205979,0.16913493722576187,0.49722486752846695,0.425065393910232,0.2594131294339298,0.12719717241654627,0.3407062339118728,0.28608747523691597,-0.03278687895334598,0.00798831725265112,0.37377852844426446,0.48582707034359757,0.17506647303265527,0.09266757665255018,0.22019291478076405,0.281381498439281,0.34923778832553565,0.24425307729408907,0.28436820727974316,0.29500688520544366,0.09163856775055754,0.08976111253991317,0.23352634373895836,0.1785185496227553,0.38997598685270213,0.4090666568770359,0.2943263379910414,0.2576258655224433,0.34663116913333913,0.3075964757020269,0.28048139219989354,0.2932860065611805,0.14199177490967158,-0.11934929804601377,0.2504170022116995,-0.18824486984297553,0.08852274547484441,0.19772193366719112,0.1708067266251758,0.15999434146669345,0.13866796336284337,-0.05315163193098086
Frontal_Mid_R,0.5023249534095198,0.4392762614778824,0.35016441477835025,0.7035296461599414,-0.011207481292416497,0.16775322041252086,0.6598766520335968,0.0,0.08307969383471611,0.1218799346983182,0.42964272802356623,0.5412407027634233,0.3794754883043846,0.5369582272896024,0.12349319957926855,0.3150427484757209,0.47569327666400124,0.43702876675932306,0.48115020200997954,0.42466217055817984,-0.09114183794998529,0.12040918727983616,0.24086326911578956,0.40700985427952835,-0.01900283853153472,0.30514531351568264,0.010057687507356292,0.22240320914750336,0.5027384069121581,0.3331964722098443,0.46625426606933695,0.5097339798257001,0.6249508362574067,0.6413818468578607,0.29476245656363176,0.33314469839963906,0.2729545048589945,-0.041484971154808654,0.060319192980600504,0.2307068753028394,0.07205910816628627,0.08965770357004357,0.44951716630458755,0.40013167723544424,0.4123349176440411,0.36316259882242763,0.49745647681778354,0.4356344376009043,0.25081882840940234,0.2699786455527995,0.5514640435770166,0.43109771015850223,0.4525015030264198,0.32412156483374305,0.40429378528033777,0.3562873595238108,0.41130457422401223,0.5553014704207713,0.40335049866618605,0.1200539493862579,0.6281162366547594,0.6578373974882518,0.5692119751600907,0.5833043504155014,0.1573100666101737,0.5409248732887946,0.3577012883059632,0.4153405940586505,0.4147690633623389,0.21948999711288025,0.3712263673229174,0.50269924708367,0.4395593970840352,0.40503920817410766,0.3025809659471557,0.24627605477002057,0.5748907171494105,0.5584055292877281,0.3042988185309051,0.23599428343964313,0.5220734201063858,0.5133800828654114,0.17056198481658746,0.2562384626694464,0.35606923683126207,0.5937706924116704,0.0862591756899943,0.12518589299140304,0.277026309559081,0.35340908699337625,0.4130354165066011,0.1261130994187089,0.3302650711202867,0.2681671243825644,0.15213701371951374,0.06437450311394055,0.2813555984008553,0.2568323110493969,0.6066260065965577,0.46750755734197164,0.4664061276975494,0.21857940683135843,0.49391661992743924,0.38190548560443177,0.32925575109945815,0.2391609336974866,0.22240168175346142,-0.10589766129475427,0.1939591975047231,-0.06430464954176028,0.14889767843257512,0.1954339225425197,0.23363845528866523,0.19730584492604,0.1049129368360383,0.057321805426143436
Frontal_Mid_Orb_L,0.07507041708189453,0.1964745901748469,0.18218125205730268,-0.06016515144509305,0.4368253510906283,0.5369003765049086,0.13493266906144671,0.08307969383471611,0.0,0.5830074289794626,-0.007750923657163859,-0.043023886714282006,0.14555408018559757,0.18277361651384147,0.5585404953536365,0.4997363263359989,-0.06604610687401893,-0.021698889360186796,-0.13170439133135087,-0.26495482069161114,0.28502256881878785,0.13586413635290812,0.21774800283256698,0.2371522156706847,0.21008999403866646,0.3210296527401134,0.2973750569849633,0.17931040898331357,-0.11071850599861209,-0.09721038059151775,0.1253073078769462,0.23367790313051842,-0.0741234202307392,0.006261689882062419,0.11633796856689188,0.11377344772912922,-0.007650038942709317,-0.10840868309397841,0.1473614925948206,-0.0029283022155390686,0.23749843610954408,0.2596847117134117,0.09699537134111752,0.09415260778544202,-0.105381393681073,-0.11905858233712717,0.032255357614089944,-0.037289462896428885,-0.041694406909294573,-0.11558063252806047,0.08818489839004837,0.009420033645114198,0.14012721295316483,0.009941722806280577,0.018252693040165895,-0.10009309606005884,-0.024555417164578982,0.15828752514149913,0.14184404966720252,0.2558445731518456,0.07601524744570537,0.11091034949197115,-0.0552149875171893,-0.056148076698251836,0.18121519604594996,0.11869489989209439,0.1170192330742607,-0.0724950701294432,-0.1160826063655571,0.024654097759235626,0.3318753691543427,0.30260586114757126,0.05549201827670071,0.03361805687183399,-0.07050935866153532,-0.11901801963746947,0.18780146029402903,0.09923577141520516,0.11851809837640467,0.08849318393407592,0.12679385373281896,0.20220939181596184,0.2723372439193891,0.2652569887014926,0.27581464151048307,0.3044238394091248,0.20560625583792758,0.3380194570566767,-0.08324014907922962,0.05586258259577359,-0.2641899336519548,-0.05466711453882839,-0.254541341487819,-0.15271207935559603,0.1458962586062765,0.17061103921158144,0.11897269228480993,0.3585389999934891,0.045956883276411065,0.14084935500914034,-0.27883281446662106,-0.3937811713752948,-0.17070598211906646,-0.17294834600652342,-0.08861267776334597,-0.10042915030742319,-0.042840018920467154,0.46334388435345,-0.22481430021146,-0.06785029229733011,-0.067437797592899,-0.3352977936886471,-0.3437459091215881,-0.47767289992096235,-0.20238159761500987,0.023594041325252144
Frontal_Mid_Orb_R,0.05224444709440184,0.16872795251217196,0.13620927608898775,0.06148388869726361,0.4148355752413926,0.6261671369734223,0.048858011619289606,0.1218799346983182,0.5830074289794626,0.0,-0.03724093404786854,-0.028454430764252768,0.040158771330307215,0.1952008774217451,0.4248927843244686,0.712003516616138,-0.03973661253959316,-0.03882974426390062,-0.11515138857534815,-0.21826856833124464,0.3179117438913887,0.33087524636039917,0.15180158515711728,0.29374849161725475,0.2365632696578584,0.42502157686063147,0.44462712439231333,0.3568592899739659,-0.11173901051566722,-0.09609275007598463,0.1368978823934671,0.2599661584894186,-0.04895753561511835,0.03195283478260976,0.24131086674664334,0.251881378077788,0.05010986217352288,-0.019564388202189385,0.2998165836392662,0.23763021812454244,0.24648036282664854,0.3003626567596242,0.1070333748524384,0.05170396724981037,-0.06124373300069409,-0.12478265006751761,0.12186317624988148,-0.05278329134394971,-0.15708752195565037,-0.23322883420618298,0.05756428888514187,-0.06990654801716659,0.14676133247839646,0.12417092921854075,0.16651988038425242,0.052301788072195016,0.0337406721804775,0.22644744246051354,0.038052977789546895,0.15792147111054386,0.03996163584555643,0.16548087077855184,-0.06183922733013761,-0.044781415501388706,0.1796759080876277,0.19307819587859018,0.17362714146616354,0.06628286485648922,-0.06157112094396656,0.009407421827982397,0.40023584375025967,0.41288432239174383,0.08627112763332496,0.049026502337047306,-0.06038248946742332,-0.1310974701287118,0.19854620604658893,0.19618303083412145,0.12298834084453995,0.10878517555003628,0.13174950220728443,0.1953922043288436,0.33123683986408925,0.40340556337291245,0.2933308938048695,0.4649369538712478,0.2813103852444702,0.30353751908466875,0.15529739223558375,0.2846153045027462,-0.06868954991172133,0.06658762275707195,-0.058552687011183095,0.03524783174651239,0.2956411663646487,0.2896417988770404,0.183925630120906,0.41032564394961857,0.16514360044731086,0.22338714289137857,-0.11316618126765748,-0.25894078522757386,-0.05759968778207766,0.053049250110045174,-0.09409918937344128,-0.18244501657310222,-0.17662878965136009,0.43866925143326096,-0.2782725465809264,0.11281479021452272,0.05047575361957437,-0.20177086668272265,-0.18313109120259471,-0.37911623563390723,-0.11065227003415162,0.12650968868838852
